Option Code,HP Orbit,HP JumpStart,HP JumpStart Apps,HP Audio Switch
ABA,n,n,n,n
B1F,n,n,,n
ABL(EN),,n,,n
ABL(FR),,n,,n
ACH,n,n,,n
ABM,n,n,,n
AC8,n,n,,n
AKH,n,n,,n
UUH,n,n,,n
AC4,,n,,n
ABG,n,n,n,n
AKL,n,n,,n
AR6,n,n,,n
ACJ,n,n,,n
UUF,n,n,,n
AB0,,n,,n
AB5,,n,,n
AB2,,n,,n
AB1,,n,,n
AB4,n,n,,n
ABJ,,n,,n
ACF,,n,,n
ABF,,n,,n
ABZ,,n,,n
ABD,,n,,n
ABU,n,n,n,n
ABE,n,n,,n
UUW,,n,,n
AB9,,n,,n
ABH,,n,,n
ABB,,n,n,n
ACQ,n,n,,n
ABV,,n,,n
A2N,,n,,n
ABT,,n,,n
AB7,,n,,n
UUG,,n,,n
UUZ,,n,,n
AB8,,n,,n
ACB,,n,,n
AKD,,n,,n
BCM,,n,,n
AKC,,n,,n
AKE,,n,,n
AKS,,n,,n
AB6,,n,,n
BH4,,n,,n
BH5,,n,,n
B1R,,n,,n
BED,,n,,n
AKQ,,n,,n
B10,,n,,n
